Step Time Temp
623.0 62.3 988.4491 
624.0 62.4 988.93575 
625.0 62.5 989.15399 
626.0 62.6 989.14825 
627.0 62.7 988.94815 
628.0 62.8 988.55982 
629.0 62.9 987.98404 
630.0 63.0 987.23832 
631.0 63.1 986.3569 
632.0 63.2 985.3684 
633.0 63.3 984.27296 
634.0 63.4 983.03815 
635.0 63.5 981.61737 
636.0 63.6 979.97904 
637.0 63.7 978.12733 
638.0 63.8 976.09963 
639.0 63.9 973.94424 
640.0 64.0 971.69612 
641.0 64.1 969.36369 
642.0 64.2 966.92793 
643.0 64.3 964.35037 
644.0 64.4 961.58601 
645.0 64.5 958.59717 
646.0 64.6 955.3634 
647.0 64.7 951.88582 
648.0 64.8 948.18917 
649.0 64.9 944.32081 
650.0 65.0 940.34117 
651.0 65.1 936.30634 
652.0 65.2 932.2522 
653.0 65.3 928.18695 
654.0 65.4 924.09184 
655.0 65.5 919.92922 
656.0 65.6 915.65763 
657.0 65.7 911.25223 
658.0 65.8 906.72585 
659.0 65.9 902.1409 
660.0 66.0 897.59929 
661.0 66.1 893.21231 
662.0 66.2 889.07121 
663.0 66.3 885.23528 
664.0 66.4 881.73454 
665.0 66.5 878.57697 
666.0 66.6 875.75426 
667.0 66.7 873.24626 
668.0 66.8 871.02602 
669.0 66.9 869.06521 
670.0 67.0 867.33851 
671.0 67.1 865.8247 
672.0 67.2 864.5041 
673.0 67.3 863.35389 
674.0 67.4 862.3436 
675.0 67.5 861.43228 
676.0 67.6 860.56776 
677.0 67.7 859.68834 
678.0 67.8 858.72772 
679.0 67.9 857.62277 
680.0 68.0 856.32167 
681.0 68.1 854.78999 
682.0 68.2 853.01359 
683.0 68.3 851.00001 
684.0 68.4 848.78036 
685.0 68.5 846.41093 
686.0 68.6 843.9701 
687.0 68.7 841.54747 
688.0 68.8 839.22796 
689.0 68.9 837.07821 
690.0 69.0 835.14018 
691.0 69.1 833.43156 
692.0 69.2 831.95137 
693.0 69.3 830.68678 
694.0 69.4 829.61937 
695.0 69.5 828.72931 
696.0 69.6 827.99691 
697.0 69.7 827.4021 
698.0 69.8 826.92324 
699.0 69.9 826.53651 
700.0 70.0 826.21614 
701.0 70.1 825.93537 
702.0 70.2 825.66698 
703.0 70.3 825.38271 
704.0 70.4 825.0511 
705.0 70.5 824.63545 
706.0 70.6 824.09422 
707.0 70.7 823.38523 
708.0 70.8 822.47233 
709.0 70.9 821.33142 
710.0 71.0 819.95446 
711.0 71.1 818.35257 
712.0 71.2 816.55709 
713.0 71.3 814.61514 
714.0 71.4 812.58143 
715.0 71.5 810.51122 
716.0 71.6 808.45669 
717.0 71.7 806.46466 
718.0 71.8 804.57458 
719.0 71.9 802.8168 
720.0 72.0 801.21177 
721.0 72.1 799.77053 
722.0 72.2 798.49629 
723.0 72.3 797.38628 
724.0 72.4 796.43244 
725.0 72.5 795.62081 
726.0 72.6 794.93065 
727.0 72.7 794.33535 
728.0 72.8 793.80542 
729.0 72.9 793.31191 
730.0 73.0 792.828 
731.0 73.1 792.32804 
732.0 73.2 791.78602 
733.0 73.3 791.17561 
734.0 73.4 790.47161 
735.0 73.5 789.65181 
736.0 73.6 788.69996 
737.0 73.7 787.6112 
738.0 73.8 786.39619 
739.0 73.9 785.07679 
740.0 74.0 783.67405 
741.0 74.1 782.19784 
742.0 74.2 780.64391 
743.0 74.3 778.99784 
744.0 74.4 777.24312 
745.0 74.5 775.36998 
746.0 74.6 773.38195 
747.0 74.7 771.29726 
748.0 74.8 769.14483 
749.0 74.9 766.95687 
750.0 75.0 764.76145 
751.0 75.1 762.57744 
752.0 75.2 760.41264 
753.0 75.3 758.26496 
754.0 75.4 756.1259 
755.0 75.5 753.9852 
756.0 75.6 751.83539 
757.0 75.7 749.6751 
758.0 75.8 747.51053 
759.0 75.9 745.3547 
760.0 76.0 743.22502 
761.0 76.1 741.13946 
762.0 76.2 739.11246 
763.0 76.3 737.15134 
764.0 76.4 735.25403 
765.0 76.5 733.40846 
766.0 76.6 731.59348 
767.0 76.7 729.78116 
768.0 76.8 727.94008 
769.0 76.9 726.03992 
770.0 77.0 724.0569 
771.0 77.1 721.97949 
772.0 77.2 719.81215 
773.0 77.3 717.57545 
774.0 77.4 715.30191 
775.0 77.5 713.02957 
776.0 77.6 710.7957 
777.0 77.7 708.63255 
778.0 77.8 706.5653 
779.0 77.9 704.61166 
780.0 78.0 702.78211 
781.0 78.1 701.08041 
782.0 78.2 699.5038 
783.0 78.3 698.0429 
784.0 78.4 696.68107 
785.0 78.5 695.39373 
786.0 78.6 694.14872 
787.0 78.7 692.90911 
788.0 78.8 691.63942 
789.0 78.9 690.31321 
790.0 79.0 688.91815 
791.0 79.1 687.45513 
792.0 79.2 685.93234 
793.0 79.3 684.35861 
794.0 79.4 682.73965 
795.0 79.5 681.07804 
796.0 79.6 679.37482 
797.0 79.7 677.63096 
798.0 79.8 675.8479 
799.0 79.9 674.02759 
800.0 80.0 672.1725 
801.0 80.1 670.28614 
802.0 80.2 668.37372 
803.0 80.3 666.44241 
804.0 80.4 664.50106 
805.0 80.5 662.55942 
806.0 80.6 660.62717 
807.0 80.7 658.71275 
808.0 80.8 656.8222 
809.0 80.9 654.95777 
810.0 81.0 653.1168 
811.0 81.1 651.29121 
812.0 81.2 649.46804 
813.0 81.3 647.63156 
814.0 81.4 645.76669 
815.0 81.5 643.86301 
816.0 81.6 641.91805 
817.0 81.7 639.9381 
818.0 81.8 637.9364 
819.0 81.9 635.92924 
820.0 82.0 633.93221 
821.0 82.1 631.95755 
822.0 82.2 630.01308 
823.0 82.3 628.10222 
824.0 82.4 626.22468 
825.0 82.5 624.37781 
826.0 82.6 622.55817 
827.0 82.7 620.76343 
828.0 82.8 618.99396 
829.0 82.9 617.25361 
830.0 83.0 615.54938 
831.0 83.1 613.89007 
832.0 83.2 612.2843 
833.0 83.3 610.7385 
834.0 83.4 609.25528 
835.0 83.5 607.83243 
836.0 83.6 606.46272 
837.0 83.7 605.13453 
838.0 83.8 603.83334 
839.0 83.9 602.5437 
840.0 84.0 601.25141 
841.0 84.1 599.94547 
842.0 84.2 598.61897 
843.0 84.3 597.26894 
844.0 84.4 595.89477 
845.0 84.5 594.49634 
846.0 84.6 593.07253 
847.0 84.7 591.62106 
848.0 84.8 590.13933 
849.0 84.9 588.62565 
850.0 85.0 587.07977 
851.0 85.1 585.5024 
852.0 85.2 583.89377 
853.0 85.3 582.25215 
854.0 85.4 580.57277 
855.0 85.5 578.84745 
856.0 85.6 577.06493 
857.0 85.7 575.21171 
858.0 85.8 573.27404 
859.0 85.9 571.24163 
860.0 86.0 569.11263 
861.0 86.1 566.89785 
862.0 86.2 564.62126 
863.0 86.3 562.31662 
864.0 86.4 560.02196 
865.0 86.5 557.77461 
866.0 86.6 555.60781 
867.0 86.7 553.54857 
868.0 86.8 551.61635 
869.0 86.9 549.822 
870.0 87.0 548.16692 
871.0 87.1 546.64302 
872.0 87.2 545.23345 
873.0 87.3 543.91435 
874.0 87.4 542.65797 
875.0 87.5 541.4364 
876.0 87.6 540.22536 
877.0 87.7 539.00697 
878.0 87.8 537.77074 
879.0 87.9 536.51275 
880.0 88.0 535.23337 
881.0 88.1 533.93455 
882.0 88.2 532.61731 
883.0 88.3 531.28002 
884.0 88.4 529.91733 
885.0 88.5 528.51998 
886.0 88.6 527.0752 
887.0 88.7 525.56776 
888.0 88.8 523.98157 
889.0 88.9 522.30148 
890.0 89.0 520.51518 
891.0 89.1 518.61448 
892.0 89.2 516.59619 
893.0 89.3 514.46243 
894.0 89.4 512.22082 
895.0 89.5 509.88472 
896.0 89.6 507.47331 
897.0 89.7 505.01124 
898.0 89.8 502.52747 
899.0 89.9 500.05303 
900.0 90.0 497.61791 
901.0 90.1 495.24739 
902.0 90.2 492.95847 
903.0 90.3 490.75723 
904.0 90.4 488.63814 
905.0 90.5 486.58674 
906.0 90.6 484.58621 
907.0 90.7 482.62557 
908.0 90.8 480.70431 
909.0 90.9 478.83015 
910.0 91.0 477.01162 
911.0 91.1 475.25099 
912.0 91.2 473.54158 
913.0 91.3 471.86962 
914.0 91.4 470.21866 
915.0 91.5 468.57414 
916.0 91.6 466.92646 
917.0 91.7 465.27189 
918.0 91.8 463.61163 
919.0 91.9 461.94988 
920.0 92.0 460.29182 
921.0 92.1 458.64187 
922.0 92.2 457.00252 
923.0 92.3 455.37366 
924.0 92.4 453.75216 
925.0 92.5 452.13173 
926.0 92.6 450.50317 
927.0 92.7 448.85508 
928.0 92.8 447.17526 
929.0 92.9 445.45258 
930.0 93.0 443.67915 
931.0 93.1 441.85194 
932.0 93.2 439.97372 
933.0 93.3 438.05285 
934.0 93.4 436.10219 
