a1 a2 energy
22.843823 22.843824 -3.4875466 
22.860198 22.8602 -3.4866405 
22.876574 22.876575 -3.4856999 
22.892949 22.892951 -3.4847239 
22.909325 22.909326 -3.4837115 
22.9257 22.925702 -3.4826619 
22.942076 22.942077 -3.4815742 
22.958451 22.958453 -3.4804477 
22.974827 22.974828 -3.4792814 
22.991202 22.991204 -3.4780746 
23.007578 23.007579 -3.4768267 
23.023953 23.023955 -3.4755367 
23.040329 23.04033 -3.4742041 
23.056704 23.056706 -3.4728281 
23.07308 23.073081 -3.4714081 
23.089455 23.089457 -3.4699433 
23.10583 23.105832 -3.4684332 
23.122206 23.122208 -3.4668771 
23.138582 23.138583 -3.4652745 
23.154957 23.154959 -3.4636247 
23.171333 23.171334 -3.4619271 
23.187708 23.18771 -3.4601813 
23.204083 23.204085 -3.4583867 
23.220459 23.220461 -3.4565426 
23.236835 23.236836 -3.4546488 
23.25321 23.253212 -3.4527046 
23.269586 23.269587 -3.4507095 
23.285961 23.285963 -3.4486631 
23.302336 23.302338 -3.446565 
23.318712 23.318714 -3.4444147 
23.335088 23.335089 -3.4422118 
23.351463 23.351465 -3.4399558 
23.367839 23.36784 -3.4376464 
23.384214 23.384216 -3.4352832 
23.400589 23.400591 -3.4328658 
23.416965 23.416967 -3.4303938 
23.43334 23.433342 -3.4278669 
23.449716 23.449718 -3.4252847 
23.466092 23.466093 -3.4226469 
23.482467 23.482469 -3.4199532 
23.498842 23.498844 -3.4172033 
23.515218 23.51522 -3.4143969 
23.531593 23.531595 -3.4115336 
23.547969 23.547971 -3.4086132 
23.564345 23.564346 -3.4056355 
23.58072 23.580722 -3.4026002 
23.597095 23.597097 -3.3995069 
23.613471 23.613473 -3.3963556 
23.629846 23.629848 -3.3931459 
23.646222 23.646224 -3.3898776 
23.662598 23.662599 -3.3865506 
23.678973 23.678975 -3.3831646 
23.695348 23.69535 -3.3797193 
23.711724 23.711726 -3.3762147 
23.728099 23.728101 -3.3726506 
23.744475 23.744477 -3.3690267 
23.760851 23.760852 -3.365343 
23.777226 23.777228 -3.3615992 
23.793601 23.793603 -3.3577952 
23.809977 23.809979 -3.3539309 
23.826352 23.826354 -3.3500061 
23.842728 23.84273 -3.3460207 
23.859103 23.859105 -3.3419747 
23.875479 23.875481 -3.3378678 
23.891854 23.891856 -3.3337 
23.90823 23.908232 -3.3294712 
23.924605 23.924607 -3.3251813 
23.940981 23.940983 -3.3208302 
23.957356 23.957358 -3.3164179 
23.973732 23.973734 -3.3119442 
23.990107 23.990109 -3.3074092 
24.006483 24.006485 -3.3028127 
24.022858 24.02286 -3.2981547 
24.039234 24.039236 -3.2934352 
24.055609 24.055611 -3.2886542 
24.071985 24.071987 -3.2838115 
24.08836 24.088362 -3.2789073 
24.104736 24.104738 -3.2739413 
24.121111 24.121113 -3.2689138 
24.137487 24.137489 -3.2638246 
24.153862 24.153864 -3.2586737 
24.170238 24.17024 -3.2534612 
24.186613 24.186615 -3.2481871 
24.202989 24.202991 -3.2428514 
24.219364 24.219366 -3.2374541 
24.23574 24.235742 -3.2319952 
24.252115 24.252117 -3.2264748 
24.268491 24.268493 -3.2208929 
24.284866 24.284868 -3.2152495 
24.301242 24.301244 -3.2095448 
24.317617 24.317619 -3.2037787 
24.333993 24.333995 -3.1979514 
24.350368 24.35037 -3.1920629 
24.366744 24.366746 -3.1861133 
24.383119 24.383121 -3.1801026 
24.399495 24.399497 -3.1740309 
24.41587 24.415872 -3.1678984 
24.432246 24.432248 -3.161705 
24.448621 24.448623 -3.155451 
24.464997 24.464999 -3.1491364 
24.481372 24.481374 -3.1427614 
24.497748 24.49775 -3.136326 
24.514123 24.514125 -3.1298303 
24.530499 24.530501 -3.1232745 
24.546874 24.546876 -3.1166588 
24.56325 24.563252 -3.1099832 
24.579625 24.579627 -3.1032478 
24.596001 24.596003 -3.096453 
24.612376 24.612378 -3.0895987 
24.628752 24.628754 -3.0826851 
24.645127 24.645129 -3.0757125 
24.661503 24.661505 -3.0686809 
24.677878 24.67788 -3.0615905 
24.694254 24.694256 -3.0544415 
24.710629 24.710631 -3.0472341 
24.727005 24.727007 -3.0399685 
24.74338 24.743382 -3.0326449 
24.759756 24.759758 -3.0252634 
24.776131 24.776133 -3.0178242 
24.792507 24.792509 -3.0103276 
24.808882 24.808884 -3.0027738 
24.825258 24.82526 -2.9951629 
24.841633 24.841635 -2.9874953 
24.858009 24.858011 -2.979771 
24.874384 24.874386 -2.9719904 
24.89076 24.890762 -2.9641537 
24.907135 24.907137 -2.9562611 
24.923511 24.923513 -2.9483129 
24.939886 24.939888 -2.9403093 
24.956262 24.956264 -2.9322505 
24.972637 24.972639 -2.9241369 
24.989013 24.989015 -2.9159686 
25.005388 25.00539 -2.907746 
25.021764 25.021766 -2.8994694 
25.038139 25.038141 -2.8911389 
25.054515 25.054517 -2.8827549 
25.07089 25.070892 -2.8743177 
25.087266 25.087268 -2.8658276 
25.103641 25.103643 -2.8572849 
25.120017 25.120019 -2.8486898 
25.136392 25.136394 -2.8400427 
25.152768 25.15277 -2.8313439 
25.169143 25.169145 -2.8225937 
25.185519 25.185521 -2.8137924 
25.201894 25.201896 -2.8049404 
25.21827 25.218272 -2.796038 
25.234645 25.234647 -2.7870855 
25.251021 25.251023 -2.7780833 
25.267396 25.267398 -2.7690317 
25.283772 25.283774 -2.7599311 
25.300147 25.300149 -2.7507818 
25.316523 25.316525 -2.7415842 
25.332898 25.3329 -2.7323387 
25.349274 25.349276 -2.7230456 
25.365649 25.365651 -2.7137054 
25.382025 25.382027 -2.7043183 
25.3984 25.398402 -2.6948848 
25.414776 25.414778 -2.6854053 
25.431151 25.431153 -2.6758802 
25.447527 25.447529 -2.6663099 
25.463902 25.463904 -2.6566947 
25.480278 25.48028 -2.6470351 
25.496653 25.496655 -2.6373316 
25.513029 25.513031 -2.6275845 
25.529404 25.529406 -2.6177942 
25.54578 25.545782 -2.6079613 
25.562155 25.562157 -2.5980861 
25.578531 25.578533 -2.5881691 
25.594906 25.594908 -2.5782106 
25.611282 25.611284 -2.5682113 
25.627657 25.627659 -2.5581715 
25.644033 25.644035 -2.5480917 
25.660408 25.66041 -2.5379723 
25.676784 25.676786 -2.5278139 
25.693159 25.693161 -2.5176168 
25.709535 25.709537 -2.5073816 
25.72591 25.725912 -2.4971088 
25.742286 25.742288 -2.4867989 
25.758662 25.758663 -2.4764523 
25.775037 25.775039 -2.4660695 
25.791413 25.791414 -2.4556511 
25.807788 25.80779 -2.4451975 
25.824164 25.824165 -2.4347093 
25.840539 25.840541 -2.424187 
25.856915 25.856916 -2.413631 
25.87329 25.873292 -2.403042 
25.889666 25.889667 -2.3924205 
25.906041 25.906043 -2.3817669 
25.922417 25.922418 -2.3710818 
25.938792 25.938794 -2.3603658 
25.955168 25.955169 -2.3496194 
25.971543 25.971545 -2.3388432 
25.987919 25.98792 -2.3280376 
26.004294 26.004296 -2.3172034 
26.02067 26.020671 -2.3063409 
26.037045 26.037047 -2.2954509 
26.053421 26.053422 -2.2845338 
26.069796 26.069798 -2.2735902 
26.086172 26.086173 -2.2626208 
26.102547 26.102549 -2.251626 
26.118923 26.118924 -2.2406065 
26.135298 26.1353 -2.2295629 
26.151674 26.151675 -2.2184957 
26.168049 26.168051 -2.2074056 
26.184425 26.184426 -2.1962931 
26.2008 26.200802 -2.1851588 
26.217175 26.217177 -2.1740035 
26.233551 26.233553 -2.1628275 
26.249927 26.249928 -2.1516316 
26.266302 26.266304 -2.1404164 
26.282678 26.282679 -2.1291825 
26.299053 26.299055 -2.1179306 
26.315428 26.31543 -2.1066611 
26.331804 26.331806 -2.0953748 
26.34818 26.348181 -2.0840723 
26.364555 26.364557 -2.0727543 
26.380931 26.380932 -2.0614213 
26.397306 26.397308 -2.0500739 
26.413681 26.413683 -2.0387129 
26.430057 26.430059 -2.0273389 
26.446433 26.446434 -2.0159525 
26.462808 26.46281 -2.0045543 
26.479184 26.479185 -1.9931451 
26.495559 26.495561 -1.9817254 
26.511934 26.511936 -1.9702959 
26.52831 26.528312 -1.9588572 
26.544685 26.544687 -1.9474101 
26.561061 26.561063 -1.9359551 
26.577437 26.577438 -1.924493 
26.593812 26.593814 -1.9130243 
26.610187 26.610189 -1.9015498 
26.626563 26.626565 -1.89007 
26.642938 26.64294 -1.8785858 
26.659314 26.659316 -1.8670976 
26.67569 26.675691 -1.8556063 
26.692065 26.692067 -1.8441125 
26.70844 26.708442 -1.8326167 
26.724816 26.724818 -1.8211198 
26.741191 26.741193 -1.8096223 
26.757567 26.757569 -1.798125 
26.773943 26.773944 -1.7866284 
26.790318 26.79032 -1.7751334 
26.806693 26.806695 -1.7636405 
26.823069 26.823071 -1.7521504 
26.839444 26.839446 -1.7406638 
26.85582 26.855822 -1.7291813 
26.872196 26.872197 -1.7177037 
26.888571 26.888573 -1.7062316 
26.904946 26.904948 -1.6947656 
26.921322 26.921324 -1.6833065 
26.937697 26.937699 -1.6718548 
26.954073 26.954075 -1.6604114 
26.970448 26.97045 -1.6489768 
26.986824 26.986826 -1.6375517 
27.003199 27.003201 -1.6261367 
27.019575 27.019577 -1.6147326 
27.03595 27.035952 -1.60334 
27.052326 27.052328 -1.5919596 
27.068701 27.068703 -1.580592 
27.085077 27.085079 -1.5692378 
27.101452 27.101454 -1.5578978 
27.117828 27.11783 -1.5465726 
27.134203 27.134205 -1.5352629 
27.150579 27.150581 -1.5239692 
27.166954 27.166956 -1.5126923 
27.18333 27.183332 -1.5014328 
27.199705 27.199707 -1.4901913 
27.216081 27.216083 -1.4789685 
27.232456 27.232458 -1.4677651 
27.248832 27.248834 -1.4565816 
27.265207 27.265209 -1.4454187 
27.281583 27.281585 -1.4342771 
27.297958 27.29796 -1.4231573 
27.314334 27.314336 -1.41206 
27.330709 27.330711 -1.4009859 
27.347085 27.347087 -1.3899354 
27.36346 27.363462 -1.3789094 
27.379836 27.379838 -1.3679083 
27.396211 27.396213 -1.3569327 
27.412587 27.412589 -1.3459834 
27.428962 27.428964 -1.3350608 
27.445338 27.44534 -1.3241657 
27.461713 27.461715 -1.3132985 
27.478089 27.478091 -1.3024599 
27.494464 27.494466 -1.2916505 
27.51084 27.510842 -1.2808708 
27.527215 27.527217 -1.2701215 
27.543591 27.543593 -1.2594031 
27.559966 27.559968 -1.2487161 
27.576342 27.576344 -1.2380612 
27.592717 27.592719 -1.2274388 
27.609093 27.609095 -1.2168497 
27.625468 27.62547 -1.2062942 
27.641844 27.641846 -1.195773 
27.658219 27.658221 -1.1852866 
27.674595 27.674597 -1.1748355 
27.69097 27.690972 -1.1644203 
27.707346 27.707348 -1.1540415 
27.723721 27.723723 -1.1436996 
27.740097 27.740099 -1.1333951 
27.756472 27.756474 -1.1231286 
27.772848 27.77285 -1.1129005 
27.789223 27.789225 -1.1027113 
27.805599 27.805601 -1.0925615 
27.821974 27.821976 -1.0824517 
27.83835 27.838352 -1.0723823 
27.854725 27.854727 -1.0623537 
27.871101 27.871103 -1.0523665 
27.887476 27.887478 -1.0424211 
27.903852 27.903854 -1.0325179 
27.920227 27.920229 -1.0226574 
27.936603 27.936605 -1.0128401 
27.952978 27.95298 -1.0030664 
27.969354 27.969356 -0.99333669 
27.985729 27.985731 -0.98365142 
28.002105 28.002107 -0.974011 
28.01848 28.018482 -0.96441585 
28.034856 28.034858 -0.95486638 
28.051231 28.051233 -0.94536296 
28.067607 28.067609 -0.93590601 
28.083982 28.083984 -0.92649589 
28.100358 28.10036 -0.91713299 
28.116733 28.116735 -0.90781767 
28.133109 28.133111 -0.8985503 
28.149484 28.149486 -0.88933123 
28.16586 28.165862 -0.88016081 
28.182235 28.182237 -0.87103938 
28.198611 28.198613 -0.86196727 
28.214986 28.214988 -0.85294481 
28.231362 28.231364 -0.84397232 
28.247737 28.247739 -0.8350501 
28.264113 28.264115 -0.82617846 
28.280488 28.28049 -0.81735771 
28.296864 28.296866 -0.80858812 
28.313239 28.313241 -0.79986997 
28.329615 28.329617 -0.79120355 
28.34599 28.345992 -0.78258912 
28.362366 28.362368 -0.77402694 
28.378741 28.378744 -0.76551726 
28.395117 28.395119 -0.75706032 
28.411492 28.411495 -0.74865636 
28.427868 28.42787 -0.74030561 
28.444243 28.444246 -0.73200829 
28.460619 28.460621 -0.72376461 
28.476994 28.476997 -0.71557478 
28.49337 28.493372 -0.70743899 
28.509745 28.509748 -0.69935745 
28.526121 28.526123 -0.69133032 
28.542496 28.542499 -0.68335779 
28.558872 28.558874 -0.67544003 
28.575247 28.57525 -0.66757719 
28.591623 28.591625 -0.65976942 
28.607998 28.608001 -0.65201687 
28.624374 28.624376 -0.64431969 
28.640749 28.640752 -0.63667799 
28.657125 28.657127 -0.6290919 
28.6735 28.673503 -0.62156153 
28.689876 28.689878 -0.61408699 
28.706251 28.706254 -0.60666839 
28.722627 28.722629 -0.59930581 
28.739002 28.739005 -0.59199933 
28.755378 28.75538 -0.58474904 
28.771753 28.771756 -0.577555 
28.788129 28.788131 -0.57041728 
28.804504 28.804507 -0.56333593 
28.82088 28.820882 -0.55631099 
28.837255 28.837258 -0.54934252 
28.853631 28.853633 -0.54243053 
28.870007 28.870009 -0.53557506 
28.886382 28.886384 -0.52877613 
28.902758 28.90276 -0.52203374 
28.919133 28.919135 -0.5153479 
28.935509 28.935511 -0.50871861 
28.951884 28.951886 -0.50214585 
28.96826 28.968262 -0.49562962 
28.984635 28.984637 -0.48916988 
29.001011 29.001013 -0.48276661 
29.017386 29.017388 -0.47641977 
29.033762 29.033764 -0.47012931 
29.050137 29.050139 -0.46389518 
29.066513 29.066515 -0.45771733 
29.082888 29.08289 -0.45159569 
29.099264 29.099266 -0.44553019 
29.115639 29.115641 -0.43952075 
