v_strainx v_stressx v_strainy v_stressy
0.44195667 0.6296577 0.44065557 0.29348238 
0.44205225 -1.2567129 0.44070855 -1.4610514 
0.44215882 -0.69985749 0.44077699 -0.81136356 
0.44226904 1.69189 0.44085221 1.5703021 
0.44235341 0.54891524 0.44090469 0.49260272 
0.44242714 -1.0064082 0.44094872 -1.0042574 
0.44250985 -2.5112258 0.44100304 -2.5122736 
0.4426196 -2.2461185 0.4410857 -2.2658924 
0.44275193 0.31962074 0.44119237 0.29913091 
0.44287428 2.1455529 0.44129051 2.0302583 
0.44296468 1.4130648 0.44135923 1.0954078 
0.44303359 1.8828309 0.44141139 1.4482673 
0.44307623 1.8286092 0.44144338 1.3967257 
0.44309444 -0.75162712 0.44145677 -1.2355625 
0.44312108 -4.0136775 0.44148473 -4.6461576 
0.44319589 -5.0995223 0.44156853 -5.8599918 
0.44333008 -0.51766871 0.44172058 -1.3009529 
0.44346462 4.2645573 0.44188179 3.4722325 
0.44354062 5.356802 0.44199308 4.589653 
0.44354726 4.2035354 0.44204293 3.4568201 
0.44350184 1.8711486 0.44204803 1.2295194 
0.4434354 0.9432384 0.44203778 0.42263204 
0.44336032 -1.0656607 0.4420228 -1.5220718 
0.4433017 -4.0735593 0.4420272 -4.5424111 
0.44329585 -4.6489956 0.4420873 -5.1583924 
0.44334752 -2.101059 0.44220822 -2.6934661 
0.44342279 2.9996048 0.44235697 2.3198241 
0.44345779 5.0523096 0.44247062 4.349666 
0.443429 4.4812222 0.44252571 3.8058372 
0.44334626 1.6292929 0.44253152 0.90049062 
0.44324708 -1.1549944 0.442526 -1.943448 
0.44316647 -1.13967 0.44254465 -1.9307633 
0.44310344 -0.5178439 0.44258627 -1.3041408 
0.44304953 -0.95424799 0.44264214 -1.7352397 
0.44300973 -0.7944215 0.44271697 -1.4834723 
0.44298145 0.48790276 0.44280683 0.0069664391 
0.44294838 2.4970764 0.44289273 2.2252674 
0.44288599 5.3853163 0.44294751 5.2381293 
0.44275993 5.6794513 0.44293538 5.6199768 
0.44256935 2.5170731 0.44285453 2.512318 
0.44235599 -2.1154117 0.44274622 -2.0305546 
0.44217785 -4.8830244 0.44266757 -4.699549 
0.44206746 -4.4472909 0.44265016 -4.1760994 
0.44201654 -1.8175295 0.44268493 -1.5128497 
0.44199017 2.1657922 0.44273684 2.444782 
0.44193826 4.6875836 0.44275645 4.8419298 
0.44183087 5.2677223 0.4427156 5.2458148 
0.44166323 1.7219096 0.44261189 1.6031051 
0.44148152 -3.8330201 0.44249285 -3.8935641 
0.44135465 -5.4379167 0.44242677 -5.3365562 
0.44130001 -3.1723989 0.44242915 -2.901986 
0.44128669 -0.57371178 0.44246716 -0.15886658 
0.44128099 2.0065057 0.44250553 2.4760219 
0.44125086 2.7343291 0.44251183 3.3095324 
0.44118837 1.6920139 0.44247712 2.4682873 
0.44110769 1.3630721 0.4424135 2.2578768 
0.44101362 -0.20781192 0.44232474 0.68181995 
0.44092603 -2.8525119 0.4422313 -1.974041 
0.44087715 -3.7712664 0.44216604 -2.8685237 
0.44087666 -4.2967261 0.44213878 -3.3705794 
0.44092901 -3.9128959 0.44215412 -3.0348264 
0.44102731 0.18729951 0.44220618 0.92299397 
0.44111927 3.7594253 0.44224473 4.3358245 
0.44116122 4.3982061 0.44222834 4.8604463 
0.44114735 1.2907037 0.44215281 1.7290746 
0.44111819 -1.4503367 0.4420591 -1.0464422 
0.44110805 -1.6666532 0.44198211 -1.281147 
0.44111884 -2.0185783 0.44192404 -1.6358782 
0.44115401 -1.4894095 0.44188848 -1.0529178 
0.44120608 -1.0094093 0.44186732 -0.43874539 
0.44126845 1.2748609 0.44185243 1.9546967 
0.44131261 3.3820484 0.44181409 4.0487836 
0.44131339 1.2518946 0.44172748 1.9095831 
0.44129874 -1.6669977 0.44162089 -0.93391085 
0.44130519 -3.9848161 0.4415301 -3.2534917 
0.4413604 -3.9576835 0.441483 -3.2951796 
0.44146209 -2.498237 0.44147834 -1.9939794 
0.44159046 -0.061702531 0.44149841 0.23223679 
0.44171445 2.6658571 0.44151482 2.8061417 
0.44180068 1.2033807 0.44149604 1.2907063 
0.44186866 0.16192128 0.44146213 0.2309309 
0.44193195 -0.20668705 0.44142673 -0.23122771 
0.44199527 0.13643559 0.4413956 -0.035755034 
0.44205441 1.6407555 0.44136614 1.3613833 
0.44209099 2.0613921 0.4413211 1.7413065 
0.44210075 -0.32111472 0.44125642 -0.67097264 
0.44211408 -1.3130107 0.44120256 -1.7271892 
0.44214306 -0.6143711 0.44117208 -1.0134861 
0.44217847 -0.55447454 0.44115529 -0.84204781 
0.44221933 -1.1131661 0.44114953 -1.3098529 
0.4422723 0.2989293 0.44116013 0.13942726 
0.44231953 1.5694126 0.4411686 1.4398623 
0.44234557 2.9805878 0.44115901 2.8574898 
0.44233387 2.1877916 0.44111462 2.0521856 
0.44229567 -1.0953317 0.4410467 -1.3086529 
0.44227246 -2.0973852 0.44099754 -2.3685801 
0.442276 -1.0253594 0.44097946 -1.4136435 
0.44229204 2.1474021 0.44097949 1.5629338 
0.44228101 2.8399827 0.44096028 2.0760643 
0.44223541 1.3815452 0.44091626 0.5354757 
0.44217456 -0.51053242 0.44086735 -1.3603266 
0.44212235 -3.948063 0.44083708 -4.7052819 
0.4421208 -3.9021256 0.4408659 -4.5635863 
0.44216739 -0.4884387 0.4409498 -1.0745279 
0.44221822 1.1151744 0.44104373 0.58404165 
0.44225337 -0.20182313 0.44112687 -0.63127159 
0.44228966 -0.78317527 0.44121463 -1.1182904 
0.44233424 0.6524236 0.44131282 0.42765775 
0.44236908 1.4710533 0.44140202 1.3421537 
0.44238446 1.968337 0.44147129 1.8952502 
0.44237498 1.1182845 0.44151458 1.0605896 
0.44235208 -0.1033187 0.44154316 -0.10198568 
0.44233132 -1.2470792 0.44157192 -1.2631494 
0.44232673 -2.27373 0.44161518 -2.4232522 
0.44235037 -1.3531089 0.44168668 -1.5786619 
0.44238982 -0.26457367 0.44177497 -0.51505515 
0.44243105 2.409417 0.44186629 2.0809235 
0.44244101 4.220312 0.44192853 3.7849492 
0.44239851 2.6298177 0.44194174 2.1821032 
0.44232516 -0.57913959 0.44192754 -0.94131524 
0.44226171 -3.2825132 0.44192549 -3.5375376 
0.44224113 -5.1019077 0.44196717 -5.2396346 
0.44228428 -4.9543856 0.44207194 -4.9165079 
0.44238697 -1.4069487 0.44223349 -1.1688196 
0.44250324 2.9076231 0.4424035 3.2853426 
0.44257929 5.3476037 0.44252665 5.7800781 
0.44258648 4.2755386 0.44257386 4.6850822 
0.4425406 1.7516025 0.44256145 2.2300563 
0.44247478 -2.5984949 0.44252196 -2.09251 
0.44244349 -5.9786621 0.44250978 -5.5334675 
0.4424872 -6.527382 0.4425664 -6.1591747 
0.44260994 -4.2691814 0.44269703 -4.0074023 
0.44278094 1.5521702 0.4428724 1.6861755 
0.4429265 5.5809755 0.44302052 5.5274419 
0.44299774 7.0671137 0.44309488 6.7911256 
0.44297899 2.9941975 0.44308253 2.6133644 
0.44292389 -1.321722 0.44303833 -1.6515393 
0.44288716 -5.0251853 0.44301616 -5.1824912 
0.44291391 -5.5795688 0.44305889 -5.5596408 
0.44300868 -3.29732 0.44316884 -3.1516591 
0.44314082 0.10555413 0.4433138 0.39510572 
0.44326688 4.3453204 0.44344863 4.8283698 
0.4433346 5.8047093 0.44351883 6.4033048 
0.44332803 2.3831251 0.44350722 3.0302679 
0.44329219 -0.095494958 0.44345852 0.55341954 
0.44325884 -1.7215121 0.44340473 -1.097339 
0.443248 -2.4770967 0.44336647 -1.9340931 
0.44326822 -3.5419821 0.44335353 -3.1016753 
0.44333156 -2.7281284 0.44337945 -2.4359 
0.4434264 1.461606 0.4434346 1.5198848 
0.44349977 3.710024 0.44346897 3.5313279 
0.44352458 4.5349588 0.44345838 4.2324583 
0.44349235 3.8838701 0.44339577 3.5150061 
0.44341318 0.074153171 0.44329187 -0.25248373 
0.44333591 -1.7492247 0.44319481 -1.9294743 
0.44328306 -1.3536816 0.44312508 -1.3946943 
0.44324884 0.32697806 0.44307511 0.43180495 
0.44321179 0.33787977 0.44302156 0.60754728 
0.44317188 -1.0916754 0.4429624 -0.66967531 
0.44314689 -0.4918837 0.44291362 0.017965943 
0.44312888 1.7933324 0.44286635 2.3166189 
0.44308932 3.504628 0.44279209 3.9954155 
0.44300779 3.1244539 0.44267102 3.5559394 
0.44289048 0.83451967 0.44251024 1.183503 
0.44276698 -0.52150431 0.44234049 -0.3328773 
0.44265427 -2.2535019 0.44218083 -2.2747646 
0.44257338 -1.7160285 0.44205489 -1.9828887 
0.44251654 -0.44700595 0.44195787 -0.91925282 
0.44246721 -0.43073342 0.44187561 -1.030669 
0.44242494 1.9602496 0.44180895 1.3286479 
0.44235992 2.5877627 0.44172822 2.0524784 
0.4422652 2.8039087 0.44162495 2.3769652 
0.44213915 2.5166956 0.44149594 2.2066756 
0.44198641 0.048618483 0.44134418 -0.048555555 
0.44183838 -1.0821685 0.4411983 -0.96270967 
0.44170885 -1.0315293 0.44106937 -0.73515358 
0.44159654 -2.2771617 0.44095397 -1.7869957 
0.44151622 -2.1620454 0.44086461 -1.531155 
0.44146534 -1.6850365 0.44079721 -1.1005753 
0.441437 1.3116143 0.44074572 1.6332182 
0.44139347 4.1989337 0.44067587 4.2703737 
0.44129966 4.9264693 0.44055579 4.8155544 
0.44114834 3.0400327 0.4403805 2.8294684 
0.44096476 -2.4896583 0.4401764 -2.8257557 
0.44081816 -5.5432939 0.4400141 -6.1109912 
0.44074487 -3.4038731 0.4399326 -4.1971451 
0.44071601 -1.6071086 0.43990556 -2.5541455 
0.44070794 1.2857657 0.43991089 0.36087735 
0.44068431 0.66038146 0.43991159 -0.15800415 
0.44065336 -0.8429331 0.43991423 -1.41701 
0.44063385 -0.98403466 0.43993422 -1.239233 
0.44062712 -1.0062193 0.4399688 -1.0112557 
0.44063302 0.29520318 0.44001467 0.40194402 
0.44063509 1.0384283 0.44005404 1.1514273 
0.44062431 -1.2905083 0.44007791 -1.1323013 
0.44062979 -3.2628159 0.44011493 -3.0620582 
0.44067529 -2.1761214 0.44018841 -2.0609488 
0.44074608 -1.0642368 0.44028482 -1.0708337 
0.44082761 -0.59078749 0.44039119 -0.82180466 
0.4409137 -0.67886611 0.44050413 -1.2105281 
0.44100528 0.11756144 0.44062822 -0.66403125 
0.44109235 2.0982664 0.44075636 1.1670732 
0.44115065 4.190235 0.44086584 3.1195286 
0.44115532 3.1184276 0.4409332 1.9560054 
0.44112136 0.78293128 0.44097419 -0.39980571 
0.44107888 -0.76265279 0.44101876 -1.8372599 
0.44104723 -1.1711072 0.44108452 -1.968278 
0.44103108 -3.0292703 0.44117238 -3.4242222 
0.44105285 -3.9961021 0.4412996 -3.9498137 
0.44112322 -3.8289177 0.44147137 -3.4714655 
0.44123852 -1.922758 0.44168034 -1.3325849 
0.44137377 1.0578295 0.44189889 1.7656012 
0.4414915 3.439194 0.44208845 4.0657122 
0.44156287 3.5726706 0.44222152 4.0111039 
0.44158775 1.539233 0.44230063 1.7764117 
0.44159279 -0.56849645 0.44235519 -0.47567478 
0.4416047 -2.7458613 0.44241384 -2.78089 
0.44165016 -2.7551562 0.44250496 -2.9714747 
0.4417282 -0.59509351 0.44262987 -1.0221866 
0.44181105 1.5137997 0.44276335 0.92615661 
0.44187248 1.6993002 0.44288101 1.1504733 
0.44191089 -0.40605955 0.44298061 -0.73790255 
0.44195307 -1.1197328 0.4430861 -1.1461253 
0.44200774 -1.4111593 0.44320236 -1.1447549 
0.44207811 -1.2420216 0.44332903 -0.78524276 
0.44216157 0.14832125 0.44346133 0.7702101 
0.44224049 0.26318274 0.44357979 1.1336113 
0.4423136 0.14970098 0.44368038 1.335039 
0.4423825 0.76526324 0.44376117 2.1552842 
0.44243969 1.139889 0.44381262 2.5576203 
0.44248092 -0.50544591 0.4438307 0.82781544 
0.44252708 -2.2148005 0.44383793 -1.0820059 
0.44259921 -3.3998811 0.44385835 -2.5933785 
0.44271117 -3.116633 0.4439103 -2.6665174 
0.44285817 -0.85034464 0.44399366 -0.69559772 
0.44301102 2.4206249 0.44408298 2.4012262 
0.44312895 4.0652934 0.44413964 3.9470813 
0.44319267 4.7193162 0.44414549 4.5722749 
0.44319581 4.4976364 0.44409439 4.3951154 
0.44314305 1.7485486 0.44399037 1.7667778 
0.44307029 -0.53750934 0.44386775 -0.38006452 
0.44300653 -3.7152124 0.44375378 -3.3524622 
0.44299088 -4.0547431 0.44368505 -3.4702275 
0.44302602 -2.0414347 0.44366157 -1.2357591 
0.44308537 -0.2219403 0.44365418 0.74958144 
0.44314559 1.8732696 0.44363773 2.929203 
0.44318068 3.0855551 0.44358546 4.1047327 
0.44317638 2.8836759 0.44348392 3.783221 
0.44313646 2.0654041 0.44333868 2.7974573 
0.44307219 -0.30688904 0.44316335 0.084035188 
0.44301376 -1.1350038 0.44299254 -1.2098912 
0.44297126 -1.0125474 0.44284215 -1.4921946 
0.44294265 -1.4010925 0.44271501 -2.1325227 
0.44293231 -2.2380611 0.44261832 -3.1023518 
0.44295005 -0.80130118 0.44256311 -1.8066853 
0.44297717 1.6921459 0.44253204 0.65694007 
0.44298246 1.9959992 0.4424938 1.1399828 
0.44296287 2.2537906 0.44244265 1.6111695 
0.44291595 1.3246682 0.44237315 0.85092931 
0.4428541 -1.2087133 0.44229528 -1.4342101 
0.44280916 -2.9305794 0.44223763 -2.8788562 
0.44280195 -3.9614492 0.44221743 -3.7093437 
0.44284404 -3.3370985 0.4422438 -2.8892974 
0.44292618 0.01916941 0.44230515 0.61789929 
0.44300555 1.6806788 0.44235695 2.2221928 
0.44306162 5.5216497 0.44237961 5.8328231 
0.44304752 5.6813222 0.44232931 5.6916345 
