Step Strain_x Stress_x Strain_y Stress_y
1440.0 0.50368887 45.224766 0.38623509 0.96137969 
1441.0 0.5038329 43.286107 0.38598384 -0.93420959 
1442.0 0.50397694 40.954112 0.38574433 -3.373701 
1443.0 0.50412097 39.604264 0.38554605 -5.0326517 
1444.0 0.504265 40.472605 0.38540899 -4.514342 
1445.0 0.50440903 41.887136 0.38532676 -3.2789799 
1446.0 0.50455306 42.147899 0.38528432 -3.0534152 
1447.0 0.50469709 43.778115 0.38527889 -1.4836949 
1448.0 0.50484113 45.077896 0.38529142 -0.35479386 
1449.0 0.50498516 46.193731 0.38530823 0.49570711 
1450.0 0.50512919 47.851724 0.38531902 1.8360992 
1451.0 0.50527322 49.05359 0.38530759 2.8282792 
1452.0 0.50541725 47.908738 0.38526197 1.6193924 
1453.0 0.50556128 47.968751 0.38519683 1.6757782 
1454.0 0.50570531 49.123811 0.38511152 2.8027156 
1455.0 0.50584935 48.154533 0.38499246 1.7798518 
1456.0 0.50599338 45.901233 0.38485206 -0.60985239 
1457.0 0.50613741 44.245488 0.38471929 -2.3390978 
1458.0 0.50628144 45.991146 0.38461504 -0.58487728 
1459.0 0.50642547 47.104953 0.38451804 0.53799025 
1460.0 0.5065695 47.806611 0.38441471 1.2440873 
1461.0 0.50671353 48.878024 0.38429652 2.2575108 
1462.0 0.50685757 46.482976 0.38415122 -0.14066427 
1463.0 0.5070016 46.504114 0.38400789 -0.24117985 
1464.0 0.50714563 46.455348 0.38386771 -0.50614002 
1465.0 0.50728966 47.170816 0.38373391 -0.027936318 
1466.0 0.50743369 48.617551 0.38360067 1.1590201 
1467.0 0.50757772 48.662033 0.38345366 1.0250395 
1468.0 0.50772176 47.723701 0.38329452 0.034443421 
